gene,tumor_mean,normal_mean,tumor_std,normal_std,log2_fold_change,fold_change,pvalue_ttest,pvalue_mw,t_statistic,padj_ttest,padj_mw,significant,regulation
GENE0442,454.79145405625206,1543.6578714298832,561.3852122691065,1753.6059757172377,-1.7608415489419655,0.2950759922223604,1.9577239172519027e-06,1.0422977380668847e-06,-5.006756272860431,0.0032628731954198378,9.644513489816636e-05,True,Downregulated
GENE3204,453.73797830956323,1548.9252501633268,498.7218033555944,1842.7640318762296,-1.7690912351872563,0.29339348995162456,1.6825974297985775e-06,0.00021520938942538837,-5.042060180043991,0.0032628731954198378,0.003331414696987436,True,Downregulated
GENE4915,449.1428708408221,1571.9007875070329,524.2071062470435,1792.8950134303427,-1.8049727978054975,0.2861864361796624,8.570909481213934e-07,1.3369060585104144e-06,-5.197614599646281,0.0032628731954198378,0.00010128076200836473,True,Downregulated
GENE1969,460.148380159705,1516.8732409126187,521.066829870943,1830.523521976778,-1.7187483795739376,0.3038121812348707,4.153013804035534e-06,4.627718779496893e-05,-4.82922047572253,0.004741442200532358,0.0011232327134701198,True,Downregulated
GENE0454,461.1147388116164,1512.041447653062,517.1522025079523,1838.8369433754501,-1.7111284996535907,0.3054210706047879,4.741442200532358e-06,0.00018721718084684427,-4.797537491490245,0.004741442200532358,0.003029404220822723,True,Downregulated
GENE4667,470.3246263127572,1465.9920101473579,617.8325298858562,1704.1750611251596,-1.6380680454816217,0.3212864303640025,1.599590022390169e-05,7.916229297654355e-05,-4.500552712070762,0.008391066633864543,0.001583245859530871,True,Downregulated
GENE2965,469.58319406948436,1469.6991713637221,563.8668896009198,1793.2288691834651,-1.6439804726749245,0.31997243435795975,1.454894926435541e-05,0.00020931431729279704,-4.524139769297038,0.008391066633864543,0.003260347621383132,True,Downregulated
GENE3676,467.60503677088536,1479.5899578567169,590.6511202600412,1743.890516489965,-1.659727782500188,0.31649886201391775,1.1267828633369824e-05,7.035286182526058e-05,-4.587339247947102,0.008391066633864543,0.0014718171929970832,True,Downregulated
GENE4023,470.4971941511587,1465.129170955351,526.3394093136022,1851.8502242881189,-1.6366911247451685,0.321593215312621,1.635157836943028e-05,9.164371162039815e-05,-4.4950706340003865,0.008391066633864543,0.0017556266593946007,True,Downregulated
GENE0040,470.70142670744934,1464.108008173897,556.2561366514124,1808.1595021874982,-1.6350611548915923,0.32195675955343084,1.6782133267729086e-05,0.0004132776235102536,-4.488586428025827,0.008391066633864543,0.005525101918586278,True,Downregulated
GENE2237,473.3557854100068,1450.8362146611094,521.6219383650616,1866.080171291516,-1.6138372604120415,0.3267281671443441,2.3441019368234116e-05,0.00024038441942174336,-4.404681996482119,0.010055513522005115,0.0035985691530201103,True,Downregulated
GENE4917,473.58948822039173,1449.6677006091845,560.3513275991249,1809.7008447860928,-1.6119650326766362,0.3271524471256205,2.4133232452812276e-05,7.916229297654355e-05,-4.397327097299416,0.010055513522005115,0.001583245859530871,True,Downregulated
GENE1518,475.08645272333956,1442.1828780944463,535.8464124162609,1850.370943381866,-1.5999586457031498,0.329886433625069,2.9043243790912177e-05,0.0002833754755193399,-4.350338457356595,0.011170478381120069,0.004095021322533813,True,Downregulated
GENE3830,478.84727446736224,1423.3787693743325,530.3487100253898,1867.920556320884,-1.569685633538367,0.3368817935120854,4.582667164080814e-05,0.0032826897602261738,-4.233205606393811,0.011456667910202036,0.029050351860408614,True,Downregulated
GENE1250,478.1240516652266,1426.99488338501,607.05943737538,1745.2860552472102,-1.5755196674881957,0.33552224678108117,4.2021089482800445e-05,1.3369060585104144e-06,-4.255630646406687,0.011456667910202036,0.00010128076200836473,True,Downregulated
GENE1212,476.4629888196558,1435.3001976128646,559.935535883205,1818.0060727944247,-1.5888965046952488,0.3324256235661603,3.4371809712973856e-05,0.0008551850142785879,-4.307314967933051,0.011456667910202036,0.00963046187250662,True,Downregulated
GENE2952,476.5910012124425,1434.6601356489305,515.0346571476609,1883.5361825471125,-1.5878667011956678,0.3326629954773853,3.491137225963594e-05,0.006777829671516867,-4.303322861427255,0.011456667910202036,0.05245998197768473,True,Downregulated
GENE1032,478.5740070726955,1424.7451063476658,645.1008209379585,1676.9368780964742,-1.571890709021677,0.336367282579157,4.4352328740061714e-05,3.6570892003043664e-06,-4.241673303473059,0.011456667910202036,0.0001828544600152183,True,Downregulated
GENE1857,478.13160217945074,1426.9571308138902,579.2182668338145,1791.9910314842261,-1.575458790531053,0.3355364050084339,4.205924403731032e-05,2.2086900881231693e-05,-4.255396283370229,0.011456667910202036,0.0006652680988322799,True,Downregulated
GENE0369,478.6265531308474,1424.4823760569066,602.738619000274,1754.1153090962114,-1.571466765938538,0.3364661402953047,4.463233238248975e-05,1.0257157427510498e-05,-4.24004454559753,0.011456667910202036,0.0003771013760114154,True,Downregulated
GENE1819,480.77221200069727,1413.7540817076574,534.3707281256623,1867.0259987988284,-1.5541282114457706,0.34053424424065376,5.758673052783194e-05,0.0014405078334341383,-4.173746344855861,0.013711126316150462,0.014699059524838146,True,Downregulated
GENE0590,482.4849764438791,1405.1902594917483,548.2788269716225,1851.051017642723,-1.5402488402867012,0.3438261452747008,7.036714586385584e-05,0.00609221562523326,-4.12111442743457,0.01599253315087633,0.047970201773490234,True,Downregulated
GENE3182,482.98544776999057,1402.6879028611907,548.7484693403763,1851.6004370937446,-1.5361866262401531,0.34479562499859445,7.457440089081144e-05,0.0015493182707651421,-4.105783218840175,0.01601546021709961,0.015618127729487319,True,Downregulated
GENE4258,484.39964831791485,1395.6169001215694,551.7312175497699,1850.6642990643925,-1.5246913673027005,0.34755389847828916,8.776698340236804e-05,0.0006796416983010373,-4.0625767349329385,0.01601546021709961,0.007958333703759219,True,Downregulated
GENE3647,484.3911450006818,1395.6594167077346,629.4917939203305,1722.0969632974452,-1.524760559565969,0.34753723004629616,8.768152984483488e-05,5.885877291969984e-05,-4.062836021059845,0.01601546021709961,0.0013197034286928215,True,Downregulated
GENE4329,484.37982071078943,1395.7160381571969,637.5237238490939,1707.2292913382814,-1.5248527049511988,0.34751503344315515,8.756784757256927e-05,3.1105581611675224e-05,-4.0631813347321835,0.01601546021709961,0.0008317000430929204,True,Downregulated
GENE2085,484.58865647452467,1394.6718593385199,647.8754653303022,1688.1952316747393,-1.5231531597657706,0.34792465952897406,8.968657721575781e-05,4.2253358486531906e-05,-4.056815003508607,0.01601546021709961,0.001045875210062671,True,Downregulated
GENE2048,484.12842633155356,1396.9730100533752,619.9967024085796,1738.5459000461587,-1.5268978850840587,0.34702274138542283,8.507927368609113e-05,0.00014525496950941775,-4.070849935390618,0.01601546021709961,0.002495789854113707,True,Downregulated
GENE2342,486.3096758873982,1386.0667622741526,612.4047242018064,1757.581393099806,-1.509126455421548,0.3513238793844603,0.00010905781779418068,0.0005669426327398158,-4.004488776638189,0.018803072033479428,0.006930839031049093,True,Downregulated
RB1,486.7254537272921,1383.9878730746827,880.0035529166178,1046.897618302031,-1.5057321723808283,0.3521514254450028,0.00011428929008570999,1.6447709113211425e-07,-3.991884193867395,0.019048215014284997,2.937090913073469e-05,True,Downregulated
GENE4105,487.92419405400653,1377.9941714411111,638.1035416702902,1715.476020403964,-1.495933656135369,0.3545513129638965,0.00013070952301401687,5.885877291969984e-05,-3.9556227797639147,0.021082181131293044,0.0013197034286928215,False,Not Significant
GENE4358,488.8231367454498,1373.4994579838944,609.3890512386954,1769.163792096551,-1.488573511767053,0.35636473619561754,0.00014443512020723736,5.885877291969984e-05,-3.928506568738435,0.02256798753238084,0.0013197034286928215,False,Not Significant
GENE0984,489.8434736756166,1368.3977733330605,653.800189626002,1690.6914588217928,-1.480206633395137,0.35843747027638495,0.0001616321465455894,2.9240630503267036e-05,-3.8978070224648893,0.024489719173574148,0.0007945823506322565,False,Not Significant
GENE0979,490.28369249309253,1366.1966792456808,584.5587362954768,1814.1191293246804,-1.4765925413415926,0.3593365167944578,0.00016962350518379997,0.0003426104690275237,-3.884587407039747,0.0249446331152647,0.004771733551915372,False,Not Significant
GENE1197,491.2841256286949,1361.1945135676697,540.5707537199439,1883.4070179216626,-1.4683696028699733,0.3613904774431759,0.00018916809693001239,0.013850987251386372,-3.854601472482853,0.027024013847144628,0.09552405000956118,False,Not Significant
GENE4131,492.3733037451441,1355.748622985423,677.5453719996152,1649.9716127139575,-1.4594018852917447,0.36364385810800626,0.0002128092410952728,9.435350407783516e-05,-3.822044310855201,0.02955683904101011,0.0017869981832923324,False,Not Significant
GENE1358,493.077701539293,1352.2266340146793,520.4062209117856,1915.6457177542857,-1.4535936260464184,0.3651108314898371,0.00022952676968869852,0.018498889748343447,-3.80103754470396,0.031017131039013313,0.12122470346227686,False,Not Significant
GENE2560,494.4796950925174,1345.216666248557,612.8272187292794,1777.0796084474227,-1.4420127808960042,0.36805345492657504,0.00026647844056796986,0.005352324700933871,-3.7593394281294135,0.034163902636919215,0.04268201515896229,False,Not Significant
GENE2912,494.3635389653588,1345.7974468843495,613.4779910939878,1775.6782138574586,-1.4429733027578908,0.36780849274055394,0.0002632195720029275,0.002016278483868683,-3.762788495110584,0.034163902636919215,0.019350081419085247,False,Not Significant
GENE2276,495.15509872778705,1341.839648072208,534.1879230396074,1901.2486614216918,-1.4364239545626307,0.3694820148035333,0.00028617902462395875,0.07088420117204837,-3.739304486066637,0.03500118789311034,0.33278967686407684,False,Not Significant
GENE4591,495.1826232255841,1341.7020255832235,676.0051259352998,1660.3760205606477,-1.43619605855852,0.3695403848147615,0.0002870097407235048,0.00010596796411918252,-3.7384887328359135,0.03500118789311034,0.0019408052036480313,False,Not Significant
GENE1165,496.59509697602624,1334.6396568310124,603.9879753438108,1797.1234852383036,-1.4244866594497945,0.37255190382459785,0.0003327585009029977,0.01957726189931354,-3.696702264098832,0.03886146389162256,0.1261421514131027,False,Not Significant
GENE1609,496.63686446395405,1334.430819391373,557.6533039086038,1870.5945937103565,-1.4241399725768706,0.37264144067811295,0.00033420858946795406,0.007221746675779939,-3.695468861805797,0.03886146389162256,0.05512783721969419,False,Not Significant
GENE0078,498.78878723443165,1323.6712055389849,601.3607946672062,1806.5785063879505,-1.4062438751205975,0.37729270866960274,0.0004173195136943496,0.001405832848240314,-3.6320940839611895,0.046551900846283974,0.014433602137990905,False,Not Significant
GENE0622,498.82730209984095,1323.478631211939,561.2214162716588,1870.1257160945897,-1.405922954718525,0.37737664490855805,0.00041896710761655576,0.009269789826162075,-3.6309628563986354,0.046551900846283974,0.06897165049227734,False,Not Significant
GENE0330,499.33489251840876,1320.9406791191004,666.3691485522287,1690.0167145295334,-1.4016914665851525,0.37848513206493967,0.0004412485339630777,0.00026105138998816984,-3.6160642295958323,0.04796179716989975,0.003827732991028883,False,Not Significant
GENE2351,499.97233558435227,1317.7534637893823,574.199517978702,1852.8613960498092,-1.3963720401248927,0.37988323772422894,0.0004707759575262952,0.01090881359721569,-3.5973801872125657,0.04903916224232242,0.07893497537782698,False,Not Significant
GENE4506,499.9471551796043,1317.8793658131221,659.6650827988542,1704.5893165999848,-1.396582284432029,0.37982788127916295,0.00046957585985367683,7.916229297654355e-05,-3.598117701665803,0.04903916224232242,0.001583245859530871,False,Not Significant
GENE3263,501.626246368264,1309.483909869824,642.8221274546755,1740.3915235146042,-1.3825417267450373,0.3835424781508321,0.0005560777145457404,0.00018721718084684427,-3.549035994435446,0.05674262393323882,0.003029404220822723,False,Not Significant
GENE4115,502.3126662360111,1306.0518105310878,678.9005353078311,1672.144003661261,-1.3767895196979916,0.3850747630512846,0.0005954829608843335,2.9240630503267036e-05,-3.5290277192945023,0.05954829608843335,0.0007945823506322565,False,Not Significant
GENE4812,502.703377977774,1304.0982518222738,526.3663795114886,1928.321329375993,-1.373512110153162,0.3859505422480387,0.0006190425658378569,0.2554343142643555,-3.517653466112875,0.06069044763116245,0.6896174791154306,False,Not Significant
GENE1099,503.1851911715686,1301.6891858533006,673.2115482217758,1685.6797724801477,-1.369467256849484,0.3870341418711572,0.0006492735544593383,0.0004844578192921362,-3.5036415027631818,0.06243014946724407,0.006210997683232515,False,Not Significant
GENE3295,503.7176443986435,1299.0269197179264,642.1477250199068,1746.4420660297178,-1.364993069782727,0.3882363024514559,0.000684254390560523,0.0010990208697113123,-3.4881752406965885,0.06455230099627575,0.011766818733525827,False,Not Significant
GENE3897,506.0476022315145,1287.3771305535713,554.5323105697146,1895.432796503529,-1.345361856756763,0.393555264376397,0.0008586040320405319,0.014976876734904342,-3.4207209188687404,0.07798386184235225,0.10160703347967669,False,Not Significant
GENE1526,506.1236739211553,1286.9967721053674,585.4788724861562,1848.475736848773,-1.3447194478249962,0.39373054723748085,0.0008649279366179976,0.030903893772967036,-3.41852466561162,0.07798386184235225,0.18157399396572876,False,Not Significant
