gene,tumor_mean,normal_mean,tumor_std,normal_std,log2_fold_change,fold_change,pvalue_ttest,pvalue_mw,t_statistic,padj_ttest,padj_mw,significant,regulation
GENE0442,454.79145405625206,1543.6578714298832,561.3852122691065,1753.6059757172377,-1.7608415489419655,0.2950759922223604,1.9577239172519027e-06,1.0422977380668847e-06,-5.006756272860431,0.0032628731954198378,9.644513489816636e-05,True,Downregulated
GENE3204,453.73797830956323,1548.9252501633268,498.7218033555944,1842.7640318762296,-1.7690912351872563,0.29339348995162456,1.6825974297985775e-06,0.00021520938942538837,-5.042060180043991,0.0032628731954198378,0.003331414696987436,True,Downregulated
GENE4915,449.1428708408221,1571.9007875070329,524.2071062470435,1792.8950134303427,-1.8049727978054975,0.2861864361796624,8.570909481213934e-07,1.3369060585104144e-06,-5.197614599646281,0.0032628731954198378,0.00010128076200836473,True,Downregulated
GENE1969,460.148380159705,1516.8732409126187,521.066829870943,1830.523521976778,-1.7187483795739376,0.3038121812348707,4.153013804035534e-06,4.627718779496893e-05,-4.82922047572253,0.004741442200532358,0.0011232327134701198,True,Downregulated
GENE0454,461.1147388116164,1512.041447653062,517.1522025079523,1838.8369433754501,-1.7111284996535907,0.3054210706047879,4.741442200532358e-06,0.00018721718084684427,-4.797537491490245,0.004741442200532358,0.003029404220822723,True,Downregulated
GENE4667,470.3246263127572,1465.9920101473579,617.8325298858562,1704.1750611251596,-1.6380680454816217,0.3212864303640025,1.599590022390169e-05,7.916229297654355e-05,-4.500552712070762,0.008391066633864543,0.001583245859530871,True,Downregulated
GENE2965,469.58319406948436,1469.6991713637221,563.8668896009198,1793.2288691834651,-1.6439804726749245,0.31997243435795975,1.454894926435541e-05,0.00020931431729279704,-4.524139769297038,0.008391066633864543,0.003260347621383132,True,Downregulated
GENE3676,467.60503677088536,1479.5899578567169,590.6511202600412,1743.890516489965,-1.659727782500188,0.31649886201391775,1.1267828633369824e-05,7.035286182526058e-05,-4.587339247947102,0.008391066633864543,0.0014718171929970832,True,Downregulated
GENE4023,470.4971941511587,1465.129170955351,526.3394093136022,1851.8502242881189,-1.6366911247451685,0.321593215312621,1.635157836943028e-05,9.164371162039815e-05,-4.4950706340003865,0.008391066633864543,0.0017556266593946007,True,Downregulated
GENE0040,470.70142670744934,1464.108008173897,556.2561366514124,1808.1595021874982,-1.6350611548915923,0.32195675955343084,1.6782133267729086e-05,0.0004132776235102536,-4.488586428025827,0.008391066633864543,0.005525101918586278,True,Downregulated
GENE2237,473.3557854100068,1450.8362146611094,521.6219383650616,1866.080171291516,-1.6138372604120415,0.3267281671443441,2.3441019368234116e-05,0.00024038441942174336,-4.404681996482119,0.010055513522005115,0.0035985691530201103,True,Downregulated
GENE4917,473.58948822039173,1449.6677006091845,560.3513275991249,1809.7008447860928,-1.6119650326766362,0.3271524471256205,2.4133232452812276e-05,7.916229297654355e-05,-4.397327097299416,0.010055513522005115,0.001583245859530871,True,Downregulated
GENE1518,475.08645272333956,1442.1828780944463,535.8464124162609,1850.370943381866,-1.5999586457031498,0.329886433625069,2.9043243790912177e-05,0.0002833754755193399,-4.350338457356595,0.011170478381120069,0.004095021322533813,True,Downregulated
GENE3830,478.84727446736224,1423.3787693743325,530.3487100253898,1867.920556320884,-1.569685633538367,0.3368817935120854,4.582667164080814e-05,0.0032826897602261738,-4.233205606393811,0.011456667910202036,0.029050351860408614,True,Downregulated
GENE1250,478.1240516652266,1426.99488338501,607.05943737538,1745.2860552472102,-1.5755196674881957,0.33552224678108117,4.2021089482800445e-05,1.3369060585104144e-06,-4.255630646406687,0.011456667910202036,0.00010128076200836473,True,Downregulated
GENE1212,476.4629888196558,1435.3001976128646,559.935535883205,1818.0060727944247,-1.5888965046952488,0.3324256235661603,3.4371809712973856e-05,0.0008551850142785879,-4.307314967933051,0.011456667910202036,0.00963046187250662,True,Downregulated
GENE2952,476.5910012124425,1434.6601356489305,515.0346571476609,1883.5361825471125,-1.5878667011956678,0.3326629954773853,3.491137225963594e-05,0.006777829671516867,-4.303322861427255,0.011456667910202036,0.05245998197768473,True,Downregulated
GENE1032,478.5740070726955,1424.7451063476658,645.1008209379585,1676.9368780964742,-1.571890709021677,0.336367282579157,4.4352328740061714e-05,3.6570892003043664e-06,-4.241673303473059,0.011456667910202036,0.0001828544600152183,True,Downregulated
GENE1857,478.13160217945074,1426.9571308138902,579.2182668338145,1791.9910314842261,-1.575458790531053,0.3355364050084339,4.205924403731032e-05,2.2086900881231693e-05,-4.255396283370229,0.011456667910202036,0.0006652680988322799,True,Downregulated
GENE0369,478.6265531308474,1424.4823760569066,602.738619000274,1754.1153090962114,-1.571466765938538,0.3364661402953047,4.463233238248975e-05,1.0257157427510498e-05,-4.24004454559753,0.011456667910202036,0.0003771013760114154,True,Downregulated
GENE1819,480.77221200069727,1413.7540817076574,534.3707281256623,1867.0259987988284,-1.5541282114457706,0.34053424424065376,5.758673052783194e-05,0.0014405078334341383,-4.173746344855861,0.013711126316150462,0.014699059524838146,True,Downregulated
GENE0590,482.4849764438791,1405.1902594917483,548.2788269716225,1851.051017642723,-1.5402488402867012,0.3438261452747008,7.036714586385584e-05,0.00609221562523326,-4.12111442743457,0.01599253315087633,0.047970201773490234,True,Downregulated
GENE3182,482.98544776999057,1402.6879028611907,548.7484693403763,1851.6004370937446,-1.5361866262401531,0.34479562499859445,7.457440089081144e-05,0.0015493182707651421,-4.105783218840175,0.01601546021709961,0.015618127729487319,True,Downregulated
GENE4258,484.39964831791485,1395.6169001215694,551.7312175497699,1850.6642990643925,-1.5246913673027005,0.34755389847828916,8.776698340236804e-05,0.0006796416983010373,-4.0625767349329385,0.01601546021709961,0.007958333703759219,True,Downregulated
GENE3647,484.3911450006818,1395.6594167077346,629.4917939203305,1722.0969632974452,-1.524760559565969,0.34753723004629616,8.768152984483488e-05,5.885877291969984e-05,-4.062836021059845,0.01601546021709961,0.0013197034286928215,True,Downregulated
GENE4329,484.37982071078943,1395.7160381571969,637.5237238490939,1707.2292913382814,-1.5248527049511988,0.34751503344315515,8.756784757256927e-05,3.1105581611675224e-05,-4.0631813347321835,0.01601546021709961,0.0008317000430929204,True,Downregulated
GENE2085,484.58865647452467,1394.6718593385199,647.8754653303022,1688.1952316747393,-1.5231531597657706,0.34792465952897406,8.968657721575781e-05,4.2253358486531906e-05,-4.056815003508607,0.01601546021709961,0.001045875210062671,True,Downregulated
GENE2048,484.12842633155356,1396.9730100533752,619.9967024085796,1738.5459000461587,-1.5268978850840587,0.34702274138542283,8.507927368609113e-05,0.00014525496950941775,-4.070849935390618,0.01601546021709961,0.002495789854113707,True,Downregulated
GENE2342,486.3096758873982,1386.0667622741526,612.4047242018064,1757.581393099806,-1.509126455421548,0.3513238793844603,0.00010905781779418068,0.0005669426327398158,-4.004488776638189,0.018803072033479428,0.006930839031049093,True,Downregulated
RB1,486.7254537272921,1383.9878730746827,880.0035529166178,1046.897618302031,-1.5057321723808283,0.3521514254450028,0.00011428929008570999,1.6447709113211425e-07,-3.991884193867395,0.019048215014284997,2.937090913073469e-05,True,Downregulated
