gene,community
GATA3,1
GENE1212,1
GENE4667,1
GENE2952,1
CDK4,1
GENE1518,1
TP53,1
GENE3182,1
GENE1819,1
BRCA2,1
BRCA1,1
GENE3204,2
GENE2237,2
RB1,2
CCND1,2
GENE0040,2
GENE0369,2
GENE4258,2
GENE1857,2
GENE4915,3
GENE2965,3
GENE2342,3
ESR1,3
PGR,3
FOXA1,3
GENE2048,3
GENE1032,3
GENE2085,4
ERBB2,4
PIK3CA,4
PTEN,4
GENE0590,4
AKT1,4
GENE3830,4
EGFR,4
GENE0442,5
MYC,5
MKI67,5
CDK6,5
GENE3647,5
GENE1250,5
GENE1969,6
GENE0454,7
GENE3676,8
GENE4023,9
GENE4917,10
GENE4329,11
MIR21,12
