,gene,degree,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,hub_score
CCND1,CCND1,8,0.1702127659574468,0.17944143429804854,0.3509541566132924,0.10714285714285714,0.23353611895626258
GENE1212,GENE1212,7,0.14893617021276595,0.08909519404431522,0.3305102251600909,0.047619047619047616,0.18951386313905735
TP53,TP53,6,0.1276595744680851,0.0891877009823356,0.3509541566132924,0.2,0.18926714402123768
FOXA1,FOXA1,6,0.1276595744680851,0.11884498480243164,0.31815470272419966,0,0.1882197539982388
AKT1,AKT1,7,0.14893617021276595,0.08227611118452932,0.3242147922998987,0.14285714285714285,0.18514235789906466
CDK6,CDK6,6,0.1276595744680851,0.057473239064358396,0.3509541566132924,0.26666666666666666,0.17869565671524526
MKI67,MKI67,5,0.10638297872340426,0.06005462314435489,0.33705498209395407,0.3,0.1678308613205711
ESR1,ESR1,5,0.10638297872340426,0.06873706004140785,0.30947775628626695,0,0.16153259835035969
GATA3,GATA3,5,0.10638297872340426,0.050748865688736176,0.3242147922998987,0,0.16044887890401305
BRCA1,BRCA1,5,0.10638297872340426,0.06352583586626141,0.30126153266804745,0.1,0.1570567824192377
GENE1518,GENE1518,4,0.0851063829787234,0.04840315404607727,0.33705498209395407,0,0.15685483970625158
RB1,RB1,4,0.0851063829787234,0.06180124223602485,0.31815470272419966,0.16666666666666666,0.1550207759796493
GENE0442,GENE0442,4,0.0851063829787234,0.04616096207215541,0.32115616218386195,0.16666666666666666,0.1508078357449136
PIK3CA,PIK3CA,5,0.10638297872340426,0.032011805647328306,0.303951367781155,0.3,0.1474487173839625
CDK4,CDK4,4,0.0851063829787234,0.02567287784679089,0.3305102251600909,0.16666666666666666,0.14709649532853505
MYC,MYC,4,0.0851063829787234,0.03668340601735606,0.31520882584712373,0.16666666666666666,0.14566620494773438
GENE0590,GENE0590,4,0.0851063829787234,0.049585921325051754,0.2960222016651249,0,0.14357150198963334
GENE1032,GENE1032,4,0.0851063829787234,0.049125589181093346,0.293470286133529,0,0.14256741943111526
GENE3182,GENE3182,4,0.0851063829787234,0.02716840667811991,0.30668966839179607,0.16666666666666666,0.13965481934954646
GENE4915,GENE4915,3,0.06382978723404255,0.04638341923263292,0.30126153266804745,0,0.13715824637824098
