gene1,gene2,confidence
GENE0442,GATA3,0.5567303728213506
GENE0442,CDK6,0.5365660447245404
GENE0442,MKI67,0.46319865670169996
GENE0442,FOXA1,0.44989948232294263
GENE3204,CCND1,0.5005591724937702
GENE3204,GENE1857,0.4130984973122084
GENE4915,PIK3CA,0.5738949803415215
GENE4915,BRCA1,0.455311276203689
GENE4915,FOXA1,0.5832942966552975
GENE4667,GENE1212,0.4015761455675155
GENE2965,GENE2342,0.5129390100634149
GENE0040,RB1,0.48386810253902757
GENE0040,GENE4258,0.6682297611037402
GENE0040,FOXA1,0.49926680889675157
GENE2237,GENE1857,0.6603754883560067
GENE1518,GENE1212,0.4679487325593814
GENE1518,AKT1,0.5883683244845908
GENE1518,CCND1,0.48306329444416113
GENE1518,GATA3,0.5973535913809108
GENE3830,PIK3CA,0.57148380684097
GENE3830,AKT1,0.5783187577685636
GENE3830,GENE1212,0.6004638395665048
GENE1250,GENE0590,0.633144074778231
GENE1250,GENE3647,0.4614952886247463
GENE1250,MKI67,0.5522403201282509
GENE1212,CDK6,0.5752598454142508
GENE1212,GENE0590,0.6225060832685996
GENE1212,GENE3182,0.41735280296901894
GENE1212,BRCA2,0.4328406580163362
GENE2952,GATA3,0.4747876687446625
GENE2952,BRCA1,0.4350694122125092
GENE1032,ESR1,0.5123837843879414
GENE1032,GENE0590,0.48455643243201996
GENE1032,GENE2342,0.515260549413766
GENE1032,GENE3182,0.5395616836851154
GENE0369,CCND1,0.6316955175206918
GENE1819,BRCA1,0.638555858430611
GENE0590,PTEN,0.5116848299685229
GENE3182,CDK4,0.4544793150404277
GENE3182,CDK6,0.4615418921446022
GENE2085,AKT1,0.6895080731999537
GENE2048,FOXA1,0.6826605267054557
GENE2342,FOXA1,0.4123550485837815
RB1,CCND1,0.88
RB1,TP53,0.8
RB1,EGFR,0.4596527212266416
ESR1,PGR,0.9
ESR1,GATA3,0.85
ESR1,FOXA1,0.5337372743731686
ESR1,MYC,0.75
ERBB2,EGFR,0.92
ERBB2,PIK3CA,0.88
ERBB2,AKT1,0.85
ERBB2,MYC,0.78
TP53,AKT1,0.82
TP53,CCND1,0.85
TP53,CDK4,0.83
TP53,BRCA1,0.9
TP53,BRCA2,0.82
PIK3CA,AKT1,0.95
PIK3CA,PTEN,0.9
BRCA1,BRCA2,0.85
MYC,MKI67,0.75
MYC,CDK6,0.6915346248162881
CCND1,CDK4,0.92
CCND1,CDK6,0.9
CCND1,MKI67,0.8
GATA3,CDK4,0.6017555368231116
MKI67,CDK6,0.526407100683121
AKT1,PTEN,0.87
