,gene,degree,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,hub_score
CCND1,CCND1,8,0.1702127659574468,0.17944143429804854,0.3509541566132924,0.10714285714285714,0.23353611895626258
GENE1212,GENE1212,7,0.14893617021276595,0.08909519404431522,0.3305102251600909,0.047619047619047616,0.18951386313905735
AKT1,AKT1,7,0.14893617021276595,0.08227611118452932,0.3242147922998987,0.14285714285714285,0.18514235789906466
FOXA1,FOXA1,6,0.1276595744680851,0.11884498480243164,0.31815470272419966,0,0.1882197539982388
TP53,TP53,6,0.1276595744680851,0.0891877009823356,0.3509541566132924,0.2,0.18926714402123768
CDK6,CDK6,6,0.1276595744680851,0.057473239064358396,0.3509541566132924,0.26666666666666666,0.17869565671524526
PIK3CA,PIK3CA,5,0.10638297872340426,0.032011805647328306,0.303951367781155,0.3,0.1474487173839625
BRCA1,BRCA1,5,0.10638297872340426,0.06352583586626141,0.30126153266804745,0.1,0.1570567824192377
GATA3,GATA3,5,0.10638297872340426,0.050748865688736176,0.3242147922998987,0,0.16044887890401305
ESR1,ESR1,5,0.10638297872340426,0.06873706004140785,0.30947775628626695,0,0.16153259835035969
MKI67,MKI67,5,0.10638297872340426,0.06005462314435489,0.33705498209395407,0.3,0.1678308613205711
MYC,MYC,4,0.0851063829787234,0.03668340601735606,0.31520882584712373,0.16666666666666666,0.14566620494773438
GENE1032,GENE1032,4,0.0851063829787234,0.049125589181093346,0.293470286133529,0,0.14256741943111526
RB1,RB1,4,0.0851063829787234,0.06180124223602485,0.31815470272419966,0.16666666666666666,0.1550207759796493
CDK4,CDK4,4,0.0851063829787234,0.02567287784679089,0.3305102251600909,0.16666666666666666,0.14709649532853505
GENE3182,GENE3182,4,0.0851063829787234,0.02716840667811991,0.30668966839179607,0.16666666666666666,0.13965481934954646
GENE0590,GENE0590,4,0.0851063829787234,0.049585921325051754,0.2960222016651249,0,0.14357150198963334
GENE0442,GENE0442,4,0.0851063829787234,0.04616096207215541,0.32115616218386195,0.16666666666666666,0.1508078357449136
ERBB2,ERBB2,4,0.0851063829787234,0.026701466895731465,0.28849621348719795,0.16666666666666666,0.1334346877872176
GENE1518,GENE1518,4,0.0851063829787234,0.04840315404607727,0.33705498209395407,0,0.15685483970625158
GENE1250,GENE1250,3,0.06382978723404255,0.04096515572001234,0.27676872513405987,0,0.12718788936270492
BRCA2,BRCA2,3,0.06382978723404255,0.01801242236024845,0.30126153266804745,0.3333333333333333,0.12770124742077948
PTEN,PTEN,3,0.06382978723404255,0.017298797409805736,0.2813434148056972,0.3333333333333333,0.12082399981651515
GENE3830,GENE3830,3,0.06382978723404255,0.008915906788247214,0.27676872513405987,0.3333333333333333,0.11650480638544987
GENE4915,GENE4915,3,0.06382978723404255,0.04638341923263292,0.30126153266804745,0,0.13715824637824098
GENE2342,GENE2342,3,0.06382978723404255,0.042044403330249766,0.2578981302385558,0,0.12125744026761603
GENE0040,GENE0040,3,0.06382978723404255,0.05312981806968856,0.27903732124171604,0,0.13199897551514905
GENE1857,GENE1857,2,0.0425531914893617,0.036077705827937095,0.20143522598514416,0,0.09335537443414765
EGFR,EGFR,2,0.0425531914893617,0.004471168670983657,0.259866818255644,0,0.10229705947199645
GENE2952,GENE2952,2,0.0425531914893617,0.006541562045724857,0.2578981302385558,0,0.10233096125788078
GENE3204,GENE3204,2,0.0425531914893617,0.07030527289546716,0.2578981302385558,0,0.12358553154112821
GENE3647,GENE3647,1,0.02127659574468085,0.0,0.2101392172314158,0,0.07713860432536555
PGR,PGR,1,0.02127659574468085,0.0,0.2284735113522776,0,0.08325003569898615
GENE2048,GENE2048,1,0.02127659574468085,0.0,0.23316817254444766,0,0.08481492276304282
GENE2085,GENE2085,1,0.02127659574468085,0.0,0.2364066193853428,0,0.08589440504334121
GENE4258,GENE4258,1,0.02127659574468085,0.0,0.2114444297608035,0,0.07757367516849478
GENE1819,GENE1819,1,0.02127659574468085,0.0,0.22396416573348263,0,0.08174692049272116
GENE0369,GENE0369,1,0.02127659574468085,0.0,0.2503128911138924,0,0.09052982895285773
GENE2237,GENE2237,1,0.02127659574468085,0.0,0.16366612111292964,0,0.061647572285870166
GENE2965,GENE2965,1,0.02127659574468085,0.0,0.19907925842976235,0,0.07345195139148107
GENE4667,GENE4667,1,0.02127659574468085,0.0,0.23973629008091102,0,0.08700429527519728
GENE4329,GENE4329,0,0.0,0.0,0.0,0,0.0
GENE4917,GENE4917,0,0.0,0.0,0.0,0,0.0
GENE4023,GENE4023,0,0.0,0.0,0.0,0,0.0
GENE3676,GENE3676,0,0.0,0.0,0.0,0,0.0
GENE0454,GENE0454,0,0.0,0.0,0.0,0,0.0
GENE1969,GENE1969,0,0.0,0.0,0.0,0,0.0
MIR21,MIR21,0,0.0,0.0,0.0,0,0.0
